Genus	g__Methanobrevibacter	g__Actinomyces	g__Bifidobacterium	g__Parascardovia	g__Rothia	g__Cutibacterium	g__Propionibacterium	g__Olsenella	g__Collinsella	g__Adlercreutzia	g__Asaccharobacter	g__Eggerthella	g__Gordonibacter	g__Slackia	g__Bacteroides	g__Bacteroidales_unclassified	g__Barnesiella	g__Coprobacter	g__Butyricimonas	g__Odoribacter	g__Porphyromonas	g__Alloprevotella	g__Paraprevotella	g__Prevotella	g__Alistipes	g__Parabacteroides	g__Gemella	g__Aerococcus	g__Enterococcus	g__Lactobacillus	g__Lactococcus	g__Streptococcus	g__Catabacter	g__Christensenella	g__Clostridium	g__Hungatella	g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified	g__Mogibacterium	g__Clostridiales_unclassified	g__Intestinimonas	g__Lawsonibacter	g__Monoglobus	g__Eubacterium	g__Anaerostipes	g__Blautia	g__Butyrivibrio	g__Coprococcus	g__Dorea	g__Eisenbergiella	g__Fusicatenibacter	g__Lachnoclostridium	g__Lachnospira	g__Lachnospiraceae_unclassified	g__Roseburia	g__Sellimonas	g__Tyzzerella	g__Oscillibacter	g__Intestinibacter	g__Peptostreptococcus	g__Agathobaculum	g__Anaeromassilibacillus	g__Anaerotruncus	g__Faecalibacterium	g__Flavonifractor	g__Gemmiger	g__Ruminococcaceae_unclassified	g__Ruminococcus	g__Ruthenibacterium	g__Catenibacterium	g__Coprobacillus	g__Dielma	g__Erysipelatoclostridium	g__Erysipelothrix	g__Holdemanella	g__Holdemania	g__Turicibacter	g__Firmicutes_unclassified	g__Phascolarctobacterium	g__Mitsuokella	g__Allisonella	g__Dialister	g__Megasphaera	g__Veillonella	g__Parvimonas	g__Tissierellia_unclassified	g__Fusobacterium	g__Victivallis	g__Ralstonia	g__Comamonas	g__Oxalobacter	g__Parasutterella	g__Sutterella	g__Turicimonas	g__Bilophila	g__Bilophila	g__Desulfovibrio	g__Desulfovibrionaceae_unclassified	g__Desulfovibrio	g__Citrobacter	g__Enterobacter	g__Escherichia	g__Klebsiella	g__Haemophilus	g__Acinetobacter	g__Proteobacteria_unclassified	g__Akkermansia	g__Blastocystis
S117	0	0	0.019463146	0	0	0	0	0	0.000861945	0.00050375	0.000455132	0	0.000140263	0.008005886	0.406068357	0	0.047568604	1.94E-05	0.003768339	0.00576427	0	0	0.06941942	0	0.040261439	0.0231638	0	0	0.00479271	8.81E-05	0	0.003840118	0	0	0	0	0	0	0	0.000238098	0	0	0.152490296	0.003716027	0.014612534	0	0.000179797	0.005144816	0	0.009777496	0	0	0.000182192	0.028510774	0	0	0.00936619	0	0	0.001344331	0	0	0.048966744	0.000869133	0.001988743	0.000477494	0.009661591	0.001715105	0	0	0	0	0	0	0	0	0.016747231	0.041967758	0	9.57E-05	0	0	0.00029001	0	0	0	0	0	0	0	0	7.51E-05	0	0.001685255	0.001685255	0	0	0	0.001315579	0	0.010791284	0.000384451	0	0	0	0.00152862	0
S134	0	0	0.010299842	0	0	0	0	0	0.002469235	0	0	0	3.05E-05	3.57E-05	0.463665789	0	0.028433488	0	0.001019719	0.008823638	0	0	0	0	0.103156541	0.037181761	0	0	0	0	0	0.000295361	0	0	0.016485724	0	0	0	0	0	5.28E-05	0.001155955	0.047393045	0.00036063	0.004201418	0.061866418	0.001688204	0.002042537	0	0.003733539	0	0	0.006130708	0.045373297	0	0	0.015111572	0	0	0	0	0	0.057442704	0	0.001255708	0.00097514	0.025427406	0.001312181	0	0	0	0	0	4.20E-06	0	0	0.012118184	0	0.00479164	0	0.030063819	0	0.000247683	0	0	0	0.000210801	0	0.000377522	0	0.000230391	6.95E-05	0	0.000471178	0.000471178	0	0	0	0	7.64E-05	0.002978495	0	0	0	0	0.000468579	0
S1531	0	0	0.037778017	0	4.14E-05	0	0	0	0.008981734	0	0	0	0	0	0.23256187	0	0.017785957	0	0	0.011558553	0	0	0.032597592	0	0.060099718	0.026512018	0	0	0	0	0.000102849	0.001285461	0	0	0	6.14E-05	0	0	0	0.000598502	0.000646079	0.000866769	0.323258476	0.000569217	0.004205109	0	0.023783875	0.002036787	0	0.001955028	0	0	0.005876378	0.031690943	0	0	0.011362051	0	0	0.000435084	4.27E-05	0.000585709	0.058320703	0.000244578	0.000249776	0.003475172	0.060313212	0.000607098	0	0	0	0	0	0.000191805	0	0	0.010866897	0.004310357	0	0	0	0	0.000266867	0	0	0	0	0	0	0	0	0	0	0	0	0.000496953	0	0.000496953	0	0	0.010443507	0	0	0	0	0.012281094	0.000155823
S1708	0	1.58E-05	0.009633288	0	0	0	0	0	0.006666761	0	0	0	0	0.000178977	0.498828247	0	0	0	0.000437245	0.023383558	0	0	0.000245469	0.145933542	0.069966998	0.044540297	0	0	0.00016048	0.000140182	0	7.83E-05	0	0.000113386	0	0	0	0	0	0	0.00015948	0	0.000132383	0.000452343	0.001849167	0.023342264	0.00143012	0.002689762	0	0.000901187	0.000510936	0.000420447	0.02186285	0.028022875	0	0	0.001463516	0	0.000185177	0.000124384	0	0	0.020084873	2.59E-05	0.000688813	0.004497234	0.007812717	0.002076039	0.000886688	0	0	0	0	0.001286838	2.18E-05	0	0.002261915	0.002499886	0	0	0	0	0.00023607	0.000185377	0	0	0	0	0	0	8.18E-05	0	0	0.000125484	0.000125484	0	0	0	0	0	0.056723764	0	5.65E-05	0	0	0.01645343	0
S179	0	0	0.070400289	0	0	0	0	0	0.006005807	1.10E-05	1.71E-05	3.92E-05	0.000147984	0	0.454017031	0	0.051596183	0	0	0.016884606	0	0	0	0	0.107194039	0.028317972	0	0	0	0	0	0.001240531	0	0	0.002358157	0	0	0	0	0	0	0.001972958	0.050086562	0.000242111	0.001246826	0	0.010235502	0.01225952	0	0.000718039	0	0	0.004727806	0.019995076	0	0	0.006711556	0	0	8.30E-05	0	0	0.061841177	0.000963947	0.000708346	0.001971859	0.027148086	0.00032005	0	0	0	0	0	0	0	0	0.00798566	0.008421519	0	0	0	0	1.15E-05	0	0	0	0	0	0	0	0.012680292	0	0.000480724	0.00078089	0.00078089	0	0	0	0	0	0.000399987	0	0.000303263	0	0.000636003	0.028056976	0
S1914	0	0	0.011729701	0	0	0	0	0	0	0	0	0	0	0	0.776369978	0	0	0	0	0.020349202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002655	0	0.024119702	0.0005922	0.0008079	0.0020994	0	0.0008291	0	0	0.0011442	0	0	0.022539802	0.0025409	0	0	0	0	0	0	0	0.0002269	0.058500806	0.016891602	0	0.020517102	0	0.0017117	0	0	0	0	0	0	0	0	0.0024701	0	0	0	0.0013776	0	0	0	0	0	0	0.0025842	0	0	0	0	0	0	0	0	0	0	0	0	0.017742202	0	0	0	0	0.014590201	0
S1922	0	0	0	0	0	0.000406	0	0	0	0	0	0.0020438	0.0014221	0.013483403	0.477376695	0	0.047154109	0	0	0	0.0009256	0	0	0.0007311	0	0.025943505	6.93E-05	0.0004119	0	0	0	0.002584701	0	0	0	0.0006824	0	0	0	0	0.000107	0	0.007130301	0.013960703	0.013834803	0	0.015274803	0.016304703	0	0.013967503	0	0	0.0004192	0.021276204	0	7.60E-06	0.008160402	0.004016801	0	0.000367	0	0	0.044942009	0.004663401	0.0015555	0.146184029	0.018183404	0.006082601	0	0	0	0.0017619	0	0	0.0005526	0	0.024811105	0.005156201	0	0	0	0	6.01E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.057500912	0	0.0004846	0	0	0	0
S1969	0.1366235	0	0.0141065	0	0	0	0	0	0.008346	0.0017294	0.0004712	0.0004245	0.0017171	0.0012988	0.4970278	0	0.0042193	0	0	0.0083643	0.0004653	0	0.006699	0.0686846	0.0147223	0.0298347	0	0	0	0	0	0.00061	0	0	0.1035892	0	0	0	0	0.0008314	0	0	0.0026129	0.0009665	0.004314	0.0092793	0.0003543	0.0006583	0	0.0005446	0	0	0.0045184	0.0030313	0	0.0001127	0.0032905	0	0	0	0	0	0.0153165	0.0009497	0.0008868	0.0022243	0.0134206	0.0065445	0	0.0010837	0	0	0	0	0	0	0.0062781	0.0025815	0	0	0	0	0	3.54E-05	0	0	0	4.89E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.0052971	0	0	0	0	0.0158852	0
S1972	0.001526	0	0.000901	0	0	0	0	0	0.0022827	0	0	0	0	0.0001039	0.0606503	0	0.0003099	0	0.0003351	0.002178	0	0	0	0.8073722	0.0047732	0.0080831	0	0	0	0	0	0.0003948	0	0	0.0016201	0	0	0	0	0	0	0	0.0049208	0.0006619	0.0022045	0	0.0090526	0.0012364	0	0.0003778	0	0.0002794	0.0172074	0.0345443	0	0	0.002235	0	0	0.0001917	0	0	0.0222487	0	0.0001904	0	0.0093867	0	0	0	0	0	0	4.50E-06	0	0	7.10E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004645	0	7.55E-05	0	0	0	0
S201	0	0	0.003834912	0	0	0.000135576	0	0	0.002391871	8.00E-05	7.20E-06	0.000690576	0.000292448	0	0.590096337	0	0.024278944	0.000394529	1.48E-05	0.009510994	0	0	0	0	0.061268608	0.027937388	0	0	0.000131876	0	0	0.003576458	0	0	0.07497125	0	0	0	0	0	0	0	0.040563123	0.002025137	0.002213103	0	0.000365035	0.001511829	0	0.000684277	0	0	0.045857973	0.008897504	0	0	0.007960872	0	0	0.000462717	0	0	0.033643064	0.000315143	0.000183667	0.000348837	0.012788206	0.003740029	0	0	0	0	0	0	0	0	0.012415873	0	0	0	0.011946157	0	0.001415646	0	0	0	0	0	0	0	0.006028518	0	0	0.000179468	0.000179468	0	0	0	0	0	0.000284949	0	0.000553801	0	0.000209462	0.005612393	0
S2146	0	0	0	0	0	0	0	0	0.0002658	0	0	2.35E-05	0	2.12E-05	0.777539178	0	0.019651702	2.03E-05	0	0	0	0	0	0.0001383	0.0012116	0.018060602	0	0	0	0	0	0.0002291	0	0	0	0.0013131	0	0	0	3.39E-05	0.0003885	0.0004907	0.0028486	0.0003466	0.008941101	0	0.0003362	0.0028569	0.0004175	0.0007489	0.0001673	0	0	0.016304102	0	0	0.0011572	9.22E-05	0	0.0002869	0.0001028	9.92E-05	0.031209703	0.0039661	0.0002609	0.022786102	0.080367008	0.0043913	0	0	0	0	0	0.0002361	0.00075	0.000259	0.0016293	0	0	0	0	0	5.15E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S2148	0	0	0.008785	0	0	0	0	0.003012	0.020712	0	0	0	0	0	0.1229208	0	0.0792656	0.0001614	0.0017473	0.0042153	0	0	0.0020824	0.3579755	0.0422105	0.0147497	0	0	0	0.000411	0	0.0010025	0	0	0	0	0	0	0	0	0	0	0.0613499	0	0.0078061	0	0.0014291	0.0047101	0	0.0005707	8.70E-06	0.0016756	0.0281421	0.0619554	0	0	0.0019439	0	0	0.0022424	0.0003875	0	0.0244458	0	0.0082793	0.0012014	0.0253441	0.0013036	0	0	0	0	0	6.15E-05	0	0	0.0053593	0	0	0.000164	0.0827288	0	0	0	0	0	0	0	0	8.68E-05	0.0002897	0	0	0	0	0	0	0	0	0	0.0142395	0	0.004793	0	0	0.0002307	0
S2216	0	0.0001424	0	0	0	9.70E-05	0	0	0	0	0	0.0006303	0.0008225	0	0.639166828	0.0001643	0	0	0.001414	0.011561002	0.0006609	0	0	0.003580701	0.204468941	0.022250404	0	0	0	0	0	0.0004607	0	0	1.29E-05	0.0019094	0	0	0.011467402	0	5.22E-05	0	0.0017673	0.0003018	0.0022243	0	0.0004462	0.0009103	0.0001216	0.0009568	0.0012021	0	0.000717	6.86E-05	0	0	0.0003474	0.000115	0	0	0	5.21E-05	0.009538402	0.0011349	0.0016766	0	0.024333205	0.029053106	0	0	0.0001106	6.02E-05	0	0	0.0002668	0	0.006520901	0	0	0	0	0	0	6.13E-05	0	0	0	0	0	0	6.12E-05	0	0	0	0	0	0	0	0	0	0.019090404	0	0	0	0	0	0
S2221	0	0	0.009168899	0	0	0.0005301	0	0	0.021183398	0.0007104	0.0006685	0.0001955	0.0010495	0	0.383332462	0	0	0.0015407	0.0012052	0.008189899	0	0	0	0.0002798	0.312015469	0.012348499	0	0	0.0002201	0	0	0.0033341	0	0	0	0.0004218	0	0	0	0	1.45E-05	0	0.009241399	0.0037461	0.006582399	0	0.0009991	0.0012715	0.0001595	0.0030304	3.99E-05	0	0.012265899	0.010869799	0.0005318	0.0003437	0.0006897	0.0007108	0	0	0.0001537	0.006269599	0.022621098	0.0011632	0.0002628	0.0002559	0.093604491	0.021253398	0	0	0	3.30E-05	0	0	0.0001269	0	0.0046089	0.0041796	0	0	0	0	0.0001001	1.66E-05	0	0	0	0	0	0	0	0.0003212	0	0	0	0	0	0	0	0	0.005763299	0	0.0002682	0.0007468	0	0.031360397	0
S2269	0	0	0.002634799	0	0.0007816	0	0	0	0.001792499	8.70E-06	5.30E-05	0	2.85E-05	0	0.557841377	0	0	0	0.002475899	0.011766995	0	0	0	0	0.139461944	0.011534295	0	0	0	0	0	0.002915999	0	0	0.0004215	0	0	0	0	0.0005175	7.08E-05	0.002237399	0.013002795	0.0011187	0.002308999	0	0.000339	0.0009204	0	0.001377799	0	0.000175	0.004968998	0.070471772	0	0	0.012358095	0	0	3.18E-05	0	0	0.037262285	0.001699399	0.0006782	0.051804079	0.004501398	0.006408097	0	0	0.0004943	0	0	0	0.0007863	0.0003923	0.002275499	0.0005359	0	0	0.013487895	0	0.002621799	0	0	0	0	0.0003482	0	0.0004719	0	0	0	0	0	0	0	0	0	0.007488597	0.0012226	0.000252	0.001806299	0	0.0001664	0.023680391	0
S2270	0	0	0.010569898	0	0	0.0003897	0	0	0.044570091	0	0	0	0.0007804	0.0024437	0.128853374	0	0.017656396	0	0.0002895	0.024128795	0.0001227	0	0.0019802	0.554244589	0.004693699	0.003299299	0	0	0	0.0001583	0	0.021717896	0	0	0.010597298	0	0	0	0	0.0003763	0	0	0.045079091	0.004530799	0.007967898	0.003886999	0.0024094	0.003486899	0	0.0001325	0	0.0003612	0.0017979	0.032358994	0	0	0.006666499	0	0	0	0	0	0.017695196	0.0003852	0.003651199	0.0001739	0.017589396	0.002737199	0	0	0	0	0	0	0.000296	0.006294999	0.0013139	0	0	0	0	0	0.009651598	0	0	0	0	0.0004751	0	0	0	0	0	0	0	0	0	0	0	0	0.0015061	0	0.002635899	0	0	0	0
S2289	0	0	0.056821889	0	0	0	0	0	0.014073897	0.0007543	0.0007862	0.0009655	0.0007334	0	0.114824577	0	0.010389498	7.20E-06	0	0.011221298	0.0003188	0	0	0.0008083	0.020742096	0.013059797	0	0	0	0	0	0.0010138	0.0001373	0.0001485	7.82E-05	0.0002185	0.0002249	0	0	0	0	0	0.025614495	0.014149097	0.008234098	0	0.010764098	0.009110498	0.0005194	0.017229397	0.0010609	0	0.033653293	0.008308698	0.0002287	1.88E-05	0.015888497	0	1.51E-05	0.0002523	0.0007456	0.0009722	0.024156695	0.0009696	5.20E-06	0.001032	0.443772311	0.022088796	0	0	3.62E-05	0.003581799	0	0	0.0001569	0	0.012573497	0	0	0	0.013486097	0	0.0002494	1.77E-05	0.0002363	0.0001001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004614999	0	0	0	0	0.078765484	1.12E-05
S2345	0	0	0.0010297	0	0	0	0	0	0.0006705	0	0	3.72E-05	0	0	0.4903051	0	0.0048909	0.0018346	0.0001833	0.0042994	0	0	0.0022488	0.333528	0.0892746	0.0211656	0	0	0	0	0	0.0002539	0	0	0.0004315	0	0	0	0	0.0004134	0	0	0.0024682	0.0002396	0.0023903	0	0.0006168	0.0015958	0	0.0002255	0	1.77E-05	0.0006173	0.0092908	0	0	0.0020515	0	0	0	0	0.0050123	0.0175575	0.0010483	0.0010835	0	8.80E-06	0.0008118	0	0	0	0	0	0	0	0	0.0030677	0.0008479	0	0	0	0	0	0	0	0	0	0	0	0	0.000363	0	0	0	0	0	0	0	0	0	0	0	0	0	4.97E-05	0	0
S2429	0	0	0.0279982	0	0.0001137	0.0001589	0	0	0.0076936	2.39E-05	0	4.40E-05	0.0001984	0	0.6120761	0	0.0407363	0.0004019	2.55E-05	0.0086422	0.0002878	0	0	0.0039719	0.0629174	0.0363087	0	0	0	0	0	0.0067591	0	1.02E-05	0.0004334	0.0003482	0	0	0	5.70E-05	8.26E-05	0.0106643	0.015678	0.0015213	0.0019216	0.0024387	0.0004927	0.0028883	8.78E-05	0.0010716	0	0	0.0125953	0.0073983	0	0	0.0034684	0	0	8.40E-06	0.0001372	0	0.021089	0.0021921	0.000246	0.0162308	0.001675	0.0101305	0	0	0.0002287	0	0	0	0.0004979	0.0001994	0.002401	0.0026531	0	0	0	0	0	8.61E-05	0	1.56E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.072074	0	0.000502	0	0	0.0001102	0
S2452	0	0	0.0094743	0	0	0.000105	0	0	0.0018258	1.12E-05	0	0	0.0005454	0	0.4457095	0	0	0.0026448	0.0007807	0.016073	1.47E-05	0	0.0069608	0.0001751	0.1184024	0.0118758	0	0	0	0.000169	0	0.0010365	0	0	0.0036567	0	0	0	0	4.20E-05	1.16E-05	0	0.0119849	0.0001583	0.0002379	0.0004048	0.0005921	0.0002781	0	0.000732	3.65E-05	0.000388	0.0007456	0.1404947	0	0	0.0098025	0.000454	0	0.0002488	0	0	0.0090084	0.0007052	0.001221	0.1374251	0.0152536	0.0065683	0	0	0.0002604	0	0	4.20E-05	0	0	0.0042927	0.00026	0	4.39E-05	0.0125566	0	0.0003821	0	0	0	0	0	0	0	0.0001218	0	5.76E-05	0	0	0	0	0	0	0	0.0210497	0	0.0001415	0	0.0008546	0.003683	0
